# Generated: 2026-04-08 (v2)
# Component inventory for School App - Next.js 16.1.7 Web Admin
# Categories: shell, navigation, ui-primitive, form, data-display, feedback, overlay, brand, layout, chart, page-specific

component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
AppIcon,components/AppIcon.tsx,ui-primitive,token-based rendering,16px default; configurable via size prop,passive display,shared; AppShellTopbar; AppSidebar; ConfirmDialog; ProfileMenu; toast; DashboardFinanceCharts,CMP / AppIcon / icon-system,Generic icon renderer with token-based lookup; fallback to CircleFallback
AppShellTopbar,components/AppShellTopbar.tsx,navigation,fixed vs sticky positioning,64px height; panel width 288px,hover; active; open; default,app/[locale]/layout,CMP / AppShellTopbar / shell-navigation,Application top navigation bar with title; academic year; profile menu
AppSidebar,components/AppSidebar.tsx,shell,desktop sticky vs mobile overlay toggle,224px desktop width; 280px mobile drawer,hover; active; selected; mobile-open,app/[locale]/layout,CMP / AppSidebar / navigation-shell,Role-based navigation sidebar with school scope selector
ConfirmDialog,components/overlay,modal,tone=danger|primary; hasDescription=true|false,420px max-width,default; busy; hover; focus,global delete confirmation; critical actions,CMP / ConfirmDialog / modal,Modal confirmation dialog with title; description; dual-action buttons
DashboardFinanceCharts,components/DashboardFinanceCharts.tsx,chart,bar chart + donut chart,responsive grid auto-fit minmax 300px,default; hover tooltip; empty,dashboard,CMP / DashboardFinanceCharts / data-visualization,Financial overview with Recharts bar and pie charts
Header,components/Header.tsx,layout,static layout,full-width,default; passive,legacy pages,CMP / Header / page-header,Simple page header with branding lockup
LanguageToggle,components/LanguageToggle.tsx,control,compact=true|false,16px icon,default; hover; active,ProfileMenu; app navigation,CMP / LanguageToggle / control,Language switcher button (Arabic ↔ English)
LocaleHtmlAttributes,components/LocaleHtmlAttributes.tsx,utility,N/A,N/A,N/A,root layout wrapper,N/A (utility component),Sets html lang and dir attributes based on locale
PingIndicator,components/PingIndicator.tsx,feedback,speed=fast|medium|slow,compact pill display,loading; default; error,AppShellTopbar; AppSidebar footer,CMP / PingIndicator / status-indicator,Network latency monitor with visual speed indicator
ProfileMenu,components/ProfileMenu.tsx,navigation,trigger button + expandable panel,288px panel width,default; open; hover; active,AppShellTopbar; AppSidebar footer,CMP / ProfileMenu / dropdown-menu,User profile dropdown menu with identity; language/theme controls; logout
ProtectedRoute,components/ProtectedRoute.tsx,utility,role-based vs permission-based checks,full-width wrapper,N/A,route wrappers,N/A (logic component),Route-level access control wrapper
RoleGuard,components/RoleGuard.tsx,utility,N/A,N/A,N/A,inline content authorization,N/A (logic component),Simple role-based content visibility wrapper
SchoolScopeBanner,components/SchoolScopeBanner.tsx,feedback,tone=info|warning|error; showSelector=true|false,full-width section,default; loading; error,super-admin scoped pages,CMP / SchoolScopeBanner / context-indicator,Super-admin school scope context display and selector
