route,screen_name,layout,auth_required,role,primary_purpose,key_states,notes
/[locale]/login,Login,Public split auth layout,no,public,Authenticate and route to role default workspace,default; password revealed; loading submit; invalid credentials; inactive account; server config error; profile load error,Desktop two-column hero + form; mobile collapses to single glass card; theme mode toggle inline
/[locale]/forgot-password,Forgot Password,Public centered glass card,no,public,Explain password recovery fallback and route back to login,default,Currently informational only; no reset form yet
/[locale]/access-denied,Access Denied,Standalone dark gate screen,no,all,Show authorization failure and recovery navigation,default,Single icon state with back and dashboard CTAs
/[locale]/subscription-expired,Subscription Expired,Standalone dark gate screen,conditional,school-bound roles,Block access when school inactive or subscription expired,default,Warning card + contact hint + sign-out CTA
/[locale]/page,Home Launcher,Authenticated marketing-style launcher,yes,super_admin|admin|employee,Role-aware module launcher,card filtered by role,Uses large shortcut cards; lower fidelity than shell screens but still user-facing
/[locale]/dashboard,Dashboard,App shell + fixed topbar,yes,super_admin|admin|employee,"Operational overview, finance summary, branding, recent activity",school-scope blocked; loading spinner; data-ready; empty operational data; classes modal; fee modal; super-admin branding panel,Super admin depends on ?school scope; includes reusable analytics and quick actions
/[locale]/students,Students,App shell + table workspace,yes,super_admin|admin|employee,"Manage student records, status buckets, import/export, credentials cards",active/transferred/suspended/deleted tabs; search; class filter; section filter; success banner; error banner; add/edit/delete/import/account card modals; pagination,Employee becomes read-only for destructive operations
/[locale]/teachers,Teachers,App shell + management table,yes,super_admin|admin,Manage teacher accounts and teaching assignments,search; status/class/section/subject filters; add form modal; import modal; account card modal; loading; success; error; pagination,"Localized stats, import/export, password reset actions"
/[locale]/attendance,Attendance,App shell + editable data table,yes,super_admin|admin|employee,Daily attendance capture with batch actions and recent history,loading students; loading attendance; save pending; date/class/section/status filters; batch set actions; success; error; unrecorded filter,Visual verification available from pre-existing local screenshot
/[locale]/payments,Payments,App shell + KPI hero + table/detail panels,yes,super_admin|admin|employee,"Track fees, receipts, archive yearly payment accounts, collect payments",meta loading; success; error; quick filters; sort direction; student detail panel; payment modal; archive detail modal; delete confirm dialog; export,Visual runtime for this round inferred from code and older manual screenshot because latest authed capture was rate-limited
/[locale]/expenses,Expenses,App shell + tabbed finance workspace,yes,super_admin|admin,Manage expense invoices and expense types,invoices/types tabs; search; date range filters; type filter; add/edit expense form; add/edit type form; delete confirm; pagination; export,Uses deferred search and data summaries
/[locale]/salaries,Salaries,App shell + internal secondary sidebar,yes,super_admin|admin,"Manage teacher payroll, schedules, deductions, reports, archives, settings",main/schedule/deductions/reports/calendar/archive/settings sections; teacher modal; pay salary modal; detail panel; prices modal; lesson times modal; daily log modal; export modal; print modal; archive confirm,Densest workflow surface in repo; route contains many pseudo-screens
/[locale]/reports,Reports,App shell + dataset export center,yes,super_admin|admin,Load summarized metrics and export/print full datasets,loading; action loading by dataset; empty due to missing school scope; print/export,Heavy dependence on live data; multiple printable states derived from same route
/[locale]/monitoring,Monitoring,App shell + custom split moderation workspace,yes,super_admin|admin,Moderate teacher messages and homework submissions,messages/homework tabs; meta filters; search; detail modal; edit mode; delete confirm; loading; pagination; audit entries,No AppShellTopbar; direct shell with school scope banner and custom header composition
/[locale]/fee-notifications,Fee Notifications,App shell + composer/history workspace,yes,super_admin|admin,Compose and review fee notification campaigns,target mode switching; branch/class/section/student filters; send pending; history pagination; history detail modal; loading; success/error toasts,No AppShellTopbar; custom header composition similar to monitoring
/[locale]/schools,Schools,Legacy standalone admin list,yes,super_admin,Quick school activation and renewal overview,loading; empty; success message; renew action; toggle action,"Simple legacy page, visually older than super-admin console"
/[locale]/subscriptions,Subscriptions,Legacy standalone admin list,yes,super_admin,Quick subscription status overview and renewal,loading; empty; success message; renew action,"Simple legacy page, visually older than super-admin console"
/[locale]/super-admin,Super Admin Console,App shell + vertical tab rail,yes,super_admin,"Central console for schools, users, subscriptions, audit, roles, monitoring, trash, branches",overview/schools/users/subscriptions/audit/roles/trash/notifications/monitoring/branches tabs; search; spotlight filter; create/edit school form; create/edit user form; delete dialogs; loading; background refresh; diagnostics banners,Most important super-admin reconstruction surface; many internal pseudo-screens
/[locale]/users,Users Redirect,Redirect only,yes,all authenticated,Compatibility redirect to teachers module,redirect,No standalone UI; maps to /[locale]/teachers
