component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
AppIcon,/Users/musatafa/modon-school/components/AppIcon.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / AppIcon / composite,Shared cross-route component; prioritize tokenization.
AppShellTopbar,/Users/musatafa/modon-school/components/AppShellTopbar.tsx,navigation-layout,route-specific composition,64px height,default|hover|active|current|mobile-open,shared,CMP / AppShellTopbar / navigation-layout,Shared cross-route component; prioritize tokenization.
AppSidebar,/Users/musatafa/modon-school/components/AppSidebar.tsx,navigation-layout,role=employee|admin|super_admin; state=desktop|mobile,224 desktop width; 280 mobile drawer,default|hover|active|current|mobile-open,shared,CMP / AppSidebar / navigation-layout,Shared cross-route component; prioritize tokenization.
ConfirmDialog,/Users/musatafa/modon-school/components/ConfirmDialog.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,shared,CMP / ConfirmDialog / overlay-detail,Shared cross-route component; prioritize tokenization.
DashboardFinanceCharts,/Users/musatafa/modon-school/components/DashboardFinanceCharts.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / DashboardFinanceCharts / composite,Shared cross-route component; prioritize tokenization.
Header,/Users/musatafa/modon-school/components/Header.tsx,navigation-layout,route-specific composition,content-driven,default|hover|active|current|mobile-open,shared,CMP / Header / navigation-layout,Shared cross-route component; prioritize tokenization.
LanguageToggle,/Users/musatafa/modon-school/components/LanguageToggle.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,shared,CMP / LanguageToggle / control-pattern,Shared cross-route component; prioritize tokenization.
LocaleHtmlAttributes,/Users/musatafa/modon-school/components/LocaleHtmlAttributes.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / LocaleHtmlAttributes / composite,Shared cross-route component; prioritize tokenization.
PingIndicator,/Users/musatafa/modon-school/components/PingIndicator.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / PingIndicator / feedback-state,Shared cross-route component; prioritize tokenization.
ProfileMenu,/Users/musatafa/modon-school/components/ProfileMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / ProfileMenu / composite,Shared cross-route component; prioritize tokenization.
ProtectedRoute,/Users/musatafa/modon-school/components/ProtectedRoute.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / ProtectedRoute / composite,Shared cross-route component; prioritize tokenization.
RoleGuard,/Users/musatafa/modon-school/components/RoleGuard.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / RoleGuard / composite,Shared cross-route component; prioritize tokenization.
