component_name,figma_set,properties,property_values,states,slots,source_locations,canonical_status,notes
AppSidebar,"NAV / Sidebar / Shell","viewport; role; theme; scopeSelector; mobile","desktop|mobile-drawer; employee|admin|super_admin; light|dark; hidden|visible; closed|open","default|hover|active|mobile-open","brand, groups, nav items, footer card, school selector, profile","/Users/musatafa/modon-school/components/AppSidebar.tsx","canonical","Use 280px width for current implementation."
AppShellTopbar,"NAV / Topbar / Shell","mode; showAcademicYear; actions; viewport","fixed|static; true|false; none|single|multi; desktop|tablet|mobile","default|actioned|mobile","menu button, title block, subtitle, action slot, year pill, ping, profile","/Users/musatafa/modon-school/components/AppShellTopbar.tsx","canonical","Desktop offset aligns with 280px sidebar."
ProfileMenu,"NAV / Profile Menu","menu; avatar; locale; theme","closed|open; image|initials; ar|en; light|dark","default|open|danger-action","identity, language row, theme switch, sign out","/Users/musatafa/modon-school/components/ProfileMenu.tsx","canonical","Panel width 288px."
ThemeModeToggle,"CTRL / Theme Switch / 3-way","variant; compact; showLabels; selection; locale","floating|inline; true|false; true|false; system|light|dark; ar|en","default|hover|active","3 options","/Users/musatafa/modon-school/components/ThemeModeToggle.tsx","canonical","Build as a component set, not separate buttons."
ui-input,"FORM / Input / Filled Glass","leadingIcon; trailingAction; state","true|false; true|false; default|hover|focus|disabled|error","default|hover|focus|disabled|error","label and helper text stay outside main field component","/Users/musatafa/modon-school/app/[locale]/globals.css","canonical","Current auth field height is 56px."
ui-button,"ACT / Button / Shell","tone; icon; state","primary|secondary|ghost|danger; none|leading|trailing; default|hover|disabled|loading","default|hover|disabled|loading","icon and label","/Users/musatafa/modon-school/app/[locale]/globals.css","canonical","Blue/cyan semantic action system."
Button,"ACT / Button / Legacy Dashboard","variant; size; state","default|outline|secondary; default|sm; default|hover|focus|disabled","default|hover|focus|disabled","icon and label","/Users/musatafa/modon-school/components/ui/button.tsx","legacy-active","Still used in dashboard composites and keeps purple default tones."
Card,"SURF / Card / Base","sectioning; theme","plain|header|content|footer; light|dark","default","header, title, description, content, footer","/Users/musatafa/modon-school/components/ui/card.tsx","canonical","Use nested slots rather than detached freeform groups."
StatsCard,"DATA / KPI Card / Stat","tone; hasTrend; hasDescription; theme","primary|info|success|warning|danger|neutral; true|false; true|false; light|dark","default|hover|loading","label, value, trend, description, icon tile","/Users/musatafa/modon-school/components/ui/stats-card.tsx","canonical","Rounded 32px visual style."
ConfirmDialog,"OVL / Dialog / Confirm","tone; hasDescription; busy","danger|primary; true|false; true|false","open|busy","icon tile, copy, close, confirm, cancel","/Users/musatafa/modon-school/components/ConfirmDialog.tsx","canonical","Backdrop click closes only when not busy."
DataTableShell,"DATA / Table Shell / State Wrapper","state","error|loading|empty|ready","error|loading|empty|ready","error row, empty block, content slot, pagination","/Users/musatafa/modon-school/components/school/DataTableShell.tsx","canonical","Use as wrapper around module-specific tables."
ListPagination,"DATA / Pagination / Windowed","edgeState; pageWindow","start|middle|end; short|long","default|active-page|disabled","summary label, nav buttons, page buttons, ellipsis","/Users/musatafa/modon-school/components/school/ListPagination.tsx","canonical","Windowed pagination with first/last buttons."
StudentsTabs,"PAT / Students / Status Tabs","tab; state; count","active|transferred|suspended|deleted; default|hover|active; 0|1-9|10+","default|hover|active","icon, label, count pill","/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsTabs.tsx","canonical","Use full-width tab buttons on desktop and wrap on tablet."
StudentsToolbar,"PAT / Students / Toolbar","role; activeTab; accounts; dataset; printing","employee|admin|super_admin; active|other; true|false; idle|loading; idle|printing","default|busy|read-only","search, class filter, section filter, export, print, add","/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsToolbar.tsx","canonical","Action visibility depends on role and tab."
StudentsTable,"DATA / Students / Table","viewport; state; tab","desktop|mobile; loading|empty|ready; active|transferred|suspended|deleted","loading|empty|ready","desktop rows, mobile cards, actions","/Users/musatafa/modon-school/app/[locale]/students/_components/StudentsTable.tsx","canonical","Model mobile card as separate nested component."
PaymentsToolbar,"PAT / Payments / Search Toolbar","state","default|typing|loading","default|loading","search field, results count","/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsToolbar.tsx","canonical","Compact bar above filters/data."
PaymentsFilters,"PAT / Payments / Filters","exportState; canAdd; quickFilter","idle|busy|disabled; true|false; all|overdue|paid|partial|discounted","default|busy|disabled","ops header, quick filters, select grid","/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsFilters.tsx","canonical","Quick filters and advanced filters should be separate subcomponents."
PaymentsTable,"DATA / Payments / Table","viewport; state; pagination","desktop|mobile; loading|empty|ready; single|multi","loading|empty|ready","desktop rows, mobile finance cards, footer pagination","/Users/musatafa/modon-school/app/[locale]/payments/_components/PaymentsTable.tsx","canonical","Progress bar color changes by completion."
StudentDetailPanel,"OVL / Drawer / Student Finance Detail","state; actions","loading|empty|ready; read-only|manage","hidden|loading|empty|ready","summary cards, progress block, transaction rows","/Users/musatafa/modon-school/app/[locale]/payments/_components/StudentDetailPanel.tsx","canonical","Treat as right-side drawer on desktop, full-screen sheet on mobile."
NotificationsPanel,"DATA / Notifications / Panel","state; itemRead","disabled|loading|empty|feed; true|false","disabled|loading|empty|feed","header, refresh, badge, list rows","/Users/musatafa/modon-school/app/[locale]/dashboard/_components/NotificationsPanel.tsx","canonical","Unread items use accent strip and bolder title."

