# Generated: 2026-04-08 (v2)
# Route inventory for School App - Next.js 16.1.7 Web Admin
# Includes routable pages + non-routable surfaces (tabs, modals, sections, overlays)

route,screen_name,screen_type,layout,auth_required,role,primary_purpose,key_states,modal_dependencies,notes
"/[locale]/login","Login","page","Public split auth layout","no","public","Authenticate and route to role default workspace","default; password revealed; loading submit; invalid credentials; inactive account; server config error; profile load error","","Desktop two-column hero + form; mobile collapses to single glass card; theme mode toggle inline"
"/[locale]/forgot-password","Forgot Password","page","Public centered glass card","no","public","Explain password recovery fallback and route back to login","default","","Currently informational only; no reset form yet"
"/[locale]/access-denied","Access Denied","page","Standalone dark gate screen","no","all","Show authorization failure and recovery navigation","default","","Single icon state with back and dashboard CTAs"
"/[locale]/subscription-expired","Subscription Expired","page","Standalone dark gate screen","conditional","school-bound roles","Block access when school inactive or subscription expired","default","","Warning card + contact hint + sign-out CTA"
"/[locale]","Home Launcher","page","Authenticated marketing-style launcher","yes","super_admin|admin|employee","Role-aware module launcher","card filtered by role","","Uses large shortcut cards; lower fidelity than shell screens but still user-facing"
"/[locale]/dashboard","Dashboard","page","App shell + fixed topbar","yes","super_admin|admin|employee","Operational overview, finance summary, branding, recent activity","school-scope blocked; loading spinner; data-ready; empty operational data","ClassesModal, FeeModal, SchoolBrandingPanel","Super admin depends on ?school scope; includes reusable analytics and quick actions"
"/[locale]/students","Students Management","page","App shell + table workspace","yes","super_admin|admin|employee","Manage student records, status buckets, import/export, credentials cards","active/transferred/suspended/deleted tabs; search; class filter; section filter; success banner; error banner; pagination","AddStudentModal, EditStudentModal, DeleteConfirmModal, ImportExcelModal, AccountCardModal","Employee becomes read-only for destructive operations"
"/[locale]/students/active","Students - Active Tab","tab-panel","Students page container","yes","super_admin|admin|employee","Active students list with full CRUD operations","table view; search active; filtered results; empty state","AddStudentModal, EditStudentModal, DeleteConfirmModal","Default tab; shows all active students"
"/[locale]/students/transferred","Students - Transferred Tab","tab-panel","Students page container","yes","super_admin|admin|employee","Transferred students archive view","table view; search; empty state","","Read-only view of transferred students"
"/[locale]/students/suspended","Students - Suspended Tab","tab-panel","Students page container","yes","super_admin|admin|employee","Suspended students list","table view; search; restore action; empty state","","Limited actions; restore option available"
